jockey,raceDist,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH
PEREIRA TIAGO,1320,SA,D,FT,AO,58000,NA,39.181541140618194
PEREIRA TIAGO,1430,SA,D,SY,AO,56000,NA,38.53247266499803
PEREIRA TIAGO,1540,SA,D,FT,AO,53000,NA,37.751677852349
ORTIZ IRAD JR,1540,KEE,D,FT,G1,300000,NA,38.02510864316755
ORTIZ IRAD JR,1760,GP,D,FT,G3,200000,NA,37.255510710959335
ORTIZ IRAD JR,1760,GP,D,FT,G3,100000,NA,37.44539213646765
ORTIZ IRAD JR,1980,AQU,D,FT,G3,250000,NA,36.18332886625569
ORTIZ IRAD JR,1870,BEL,D,FT,G3,200000,NA,37.466940934469584
ORTIZ IRAD JR,1540,SAR,D,FT,G1,500000,NA,37.933526011560694
ORTIZ IRAD JR,1870,BEL,D,FT,G1,300000,NA,37.677304964539005
ORTIZ IRAD JR,1980,CD,D,FT,G1,1000000,NA,36.49306181293927
ORTIZ IRAD JR,1980,AQU,D,MY,G2,300000,NA,35.96802841918296
ORTIZ IRAD JR,1760,GP,D,FT,G2,200000,NA,36.866359447004605
VELAZQUEZ J R,1320,KEE,D,FT,AO,80000,NA,37.767519932857745
CANNON DECLAN,1760,TP,D,FT,N,75000,NA,35.604786865789734
COURT J K,1870,OP,D,FT,N,125000,NA,35.91212092761243
GONCALVES LEANDRO R,1320,TP,D,FT,N,50000,NA,38.53839566086212
LEPAROUX JULIEN R,1760,CD,D,FT,AO,68000,NA,36.51485951922102
LEPAROUX JULIEN R,1540,KEE,D,FT,AO,69000,NA,37.92439200577896
HERNANDEZ B J JR,1760,KD,T,TF,AO,145000,NA,34.47285262855501
ALBARADO R J,1870,IND,D,FT,N,100000,NA,36.690647482014384
ALBARADO R J,1870,CD,D,FT,AO,57500,NA,36.352404485839195
HERNANDEZ B J JR,1870,CD,D,FT,AO,53000,NA,36.50854252171423
LEZCANO JOSE,1540,AQU,D,FT,G3,150000,NA,37.86057692307692
COHEN DAVID,1870,OP,D,FT,AO,84000,NA,36.33168693009119
COHEN DAVID,1870,OP,D,SY,G3,150000,NA,35.558241145300734
COHEN DAVID,1760,OP,D,FT,AO,77000,NA,36.8437212158428
SANTANA RICARDO JR,1540,KEE,D,FT,G2,250000,NA,38.218878912885224
ST JULIEN M,1870,RP,D,FT,N,200000,NA,36.6800920598389
ORTIZ JOSE L,1980,PIM,D,SY,G2,250000,NA,36.032028469750884
ORTIZ JOSE L,1870,OP,D,FT,G3,400000,NA,36.66251317933481
VAZQUEZ R A,1760,OP,D,FT,N,125000,NA,36.199095022624434
SANTANA RICARDO JR,1760,OP,D,GD,AO,74000,NA,35.781731438226814
ORTIZ JOSE L,1540,KEE,D,FT,G1,300000,NA,38.01593048515568
ORTIZ JOSE L,1540,SAR,D,FT,G1,500000,NA,38.29321663019694
PRAT FLAVIEN,1430,BEL,D,FT,G3,150000,NA,37.80046523649522
SMITH M E,1870,LRC,D,FT,G1,300000,NA,37.353515625
SMITH M E,1870,SA,D,FT,G1,2000000,NA,36.180476730987515
BEJARANO R,1320,SA,D,FT,N,70000,NA,38.31961396537043
BEJARANO R,1210,DMR,D,FT,S,63000,NA,39.1180654338549
NAKATANI C S,1980,SA,T,TF,G2,200000,NA,36.98292393388732
NAKATANI C S,1760,SA,T,FM,G2,200000,NA,38.39180974725392
NAKATANI C S,2200,SA,T,FM,G1,300000,NA,37.443834248627056
THERIOT H J II,1980,KEE,T,FM,G1,500000,NA,36.959299142179226
THERIOT H J II,1980,DMR,T,FM,G1,300000,NA,37.46530989824237
THERIOT H J II,1760,DMR,T,FM,G2,200000,NA,37.994722955145114
NAKATANI C S,1430,SA,T,FM,N,75000,NA,40.1840912213216
NAKATANI C S,1430,SA,T,FM,A,60000,NA,40.1840912213216
ELLIOTT S,1760,SA,T,FM,N,75000,NA,37.731893931453726
ELLIOTT S,1430,SA,T,TF,N,75000,NA,39.83385537246357
MARAGH RAJIV,1760,SA,T,FM,G2,200000,NA,38.042903941667554
MARAGH RAJIV,1760,SA,T,FM,G2,200000,NA,38.449214995193856
PRAT FLAVIEN,1760,SA,T,FM,G3,100000,NA,38.08314820691844
MARAGH RAJIV,1760,DMR,T,FM,G1,300000,NA,37.68449701664398
MARAGH RAJIV,1760,DMR,T,FM,G2,200000,NA,37.692388231598784
MARAGH RAJIV,1760,SAR,t,FM,N,100000,NA,37.72793963529658
GALLARDO ANTONIO A,1870,PRX,T,FM,G3,200000,NA,36.81778804504764
FRANCO MANUEL,1760,BEL,T,FM,A,80000,NA,37.751677852349
DIAZ HECTOR RAFAEL JR,1540,BEL,T,TF,AO,80000,NA,37.643403441682594
GALLARDO ANTONIO A,1760,BEL,T,FM,N,200000,NA,38.51503156092864
ORTIZ IRAD JR,1980,GP,T,FM,G3,150000,NA,37.57305872529919
VELAZQUEZ J R,1870,GP,T,FM,N,75000,NA,37.21903279167072
ORTIZ JOSE L,1870,AQU,t,TF,AO,69000,NA,36.76470588235294
*SOUMILLON C,2187,VHY,T,SF,N,63025,NA,38.165763082579055
*JOURNIAC HUGO,2078,LBS,T,SF,N,61490,NA,34.15940324242181
NA,2078,LBS,T,SF,A,33000,NA,34.167641040631395
*JOURNIAC HUGO,2297,STC,T,TF,A,27744,NA,34.59800508769581
*SOUMILLON C,2078,DVL,D,FT,S,29676,NA,34.38600878128425
BLANC B,1760,SA,T,FM,G2,200000,NA,38.35908364411295
NAKATANI C S,1760,SA,T,FM,G3,100000,NA,38.12751535691591
NAKATANI C S,1760,DMR,T,FM,G1,300000,NA,38.06301543666737
NAKATANI C S,1760,SA,T,FM,N,70000,NA,38.809831824062094
STEVENS G L,1980,DMR,T,FM,G2,200000,NA,37.39612188365651
BUTLER D P,1760,CBY,T,TF,N,100000,NA,37.53127606338616
FRANCO MANUEL,1540,BEL,T,FM,A,90000,NA,38.80266075388026
LEPAROUX JULIEN R,1760,KEE,T,FM,A,76000,NA,37.52736370269988
LEMAITRE AURELIEN,1870,GP,T,FM,N,75000,NA,37.65134363618466
CARMOUCHE K,1870,AQU,T,TF,N,125000,NA,36.59586681974742
LEPAROUX JULIEN R,1980,GP,T,FM,G3,150000,NA,37.39612188365651
ORTIZ IRAD JR,1870,GP,T,TF,G3,150000,NA,36.21816115898116
LEPAROUX JULIEN R,1980,KEE,T,FM,G1,500000,NA,36.83492496589359
LEPAROUX JULIEN R,1980,DMR,T,FM,G1,300000,NA,37.47917823431427
LEPAROUX JULIEN R,1870,SAR,T,FM,G3,150000,NA,37.38637474342684
LEPAROUX JULIEN R,1980,BEL,t,FM,G3,200000,NA,37.320309620346485
LEPAROUX JULIEN R,1870,CD,T,TF,G3,150000,NA,36.20787580461946
LEPAROUX JULIEN R,1760,KEE,T,FM,G3,125000,NA,36.8437212158428
LEPAROUX JULIEN R,1870,GP,T,FM,G3,100000,NA,37.95395911887279
LEPAROUX JULIEN R,1870,GP,T,FM,AO,58000,NA,38.11659192825112
LYNCH FEARGAL,1870,KEE,T,FM,G1,350000,NA,37.3134328358209
ORTIZ JOSE L,1980,TAM,T,FM,G2,225000,NA,37.34439834024896
LANERIE C J,1980,KEE,T,FM,G1,500000,NA,36.73469387755102
CASTELLANO J J,1980,SAR,T,TF,G2,300000,NA,37.590495637646185
CASTELLANO J J,1870,SAR,T,FM,G3,150000,NA,37.695870700699714
LANERIE C J,1980,CD,T,FM,G3,100000,NA,37.45491537963562
LANERIE C J,1870,CD,T,TF,G3,150000,NA,36.02712630686634
LANERIE C J,1760,KEE,T,FM,G3,125000,NA,36.870135190495695
LANERIE C J,1870,GP,T,FM,AO,48000,NA,37.77404700770294
LANERIE C J,1980,GP,T,FM,S,56000,NA,37.200330669605954
LEPAROUX JULIEN R,1760,GP,T,FM,G3,250000,NA,38.647342995169076
LEPAROUX JULIEN R,1870,KEE,T,FM,A,71000,NA,36.70825335892515
LEPAROUX JULIEN R,1760,KD,T,TF,AO,145000,NA,34.97522588166714
LANDEROS CHRIS,1870,IND,T,FM,N,100000,NA,36.93511008111239
LANDEROS CHRIS,1870,CD,T,FM,A,55300,NA,37.419291723733124
LANDEROS CHRIS,1760,CD,T,FM,A,51000,NA,37.1708828084667
LEPAROUX JULIEN R,1760,KEE,T,FM,A,72000,NA,37.22469237927826
BRAVO J,1650,GP,T,FM,AO,48000,NA,37.95546558704453
LANDEROS CHRIS,1760,KEE,T,FM,A,62000,NA,36.496350364963504
LANDEROS CHRIS,1760,KD,T,FM,A,140000,NA,36.46677471636953
DESORMEAUX K J,1760,SA,T,FM,G2,200000,NA,38.01478352692714
DESORMEAUX K J,1760,SA,T,FM,G2,200000,NA,38.30194701563996
DESORMEAUX K J,1760,SA,T,FM,G3,100000,NA,38.20033955857385
TALAMO JOSEPH,1870,LRC,D,FT,G2,200000,NA,37.139528109525195
TALAMO JOSEPH,1760,DMR,T,FM,G2,200000,NA,37.37929602325823
TALAMO JOSEPH,1760,SA,T,FM,N,70000,NA,38.80564837770831
TALAMO JOSEPH,1980,DMR,T,FM,G2,200000,NA,37.44798890429958
DESORMEAUX K J,1870,DMR,T,FM,N,75000,NA,37.49632388981472
TALAMO JOSEPH,1760,SA,T,FM,G3,100000,NA,38.58107383988854
DESORMEAUX K J,1760,SA,T,FM,AO,58000,NA,38.253108065030275
ORTIZ IRAD JR,1760,GP,T,FM,G3,250000,NA,38.62246540070808
ORTIZ IRAD JR,1760,GP,T,FM,G3,100000,NA,37.75563712637651
ORTIZ IRAD JR,1760,DMR,T,FM,G2,200000,NA,37.692388231598784
BOYCE FOREST,1870,LRL,T,FM,N,150000,NA,38.15841979249801
ORTIZ JOSE L,1870,SAR,T,FM,G2,400000,NA,38.188897763578275
ORTIZ JOSE L,1760,SAR,t,FM,N,100000,NA,37.71213073538655
ORTIZ JOSE L,1760,BEL,T,FM,N,100000,NA,38.27344248352116
ORTIZ JOSE L,1870,PIM,T,TF,G3,150000,NA,36.5504061156235
ORTIZ JOSE L,1980,KEE,T,FM,G1,500000,NA,36.48977385350031
ORTIZ JOSE L,1980,BEL,t,FM,G2,500000,NA,37.56260434056761
ANTONGEORGI WILLIAM JR,1760,GG,T,YL,A,33000,NA,37.255510710959335
GRYDER A T,1760,GG,D,FT,AO,29000,NA,36.16273229532898
GRYDER A T,1760,GG,D,FT,AO,29000,62500,36.794766966475876
GRYDER A T,1870,GG,D,FT,C,24000,32000,36.14970229656932
GRYDER A T,1760,GG,T,TF,C,25000,40000,37.002775208140605
GONZALEZ RICARDO,1320,GG,D,FT,C,25000,40000,38.16254416961131
FLORES ESWAN,1980,EMD,D,FT,N,65000,NA,37.111701640245585
KRIGGER K,1760,EMD,D,FT,N,50000,NA,36.72345200448842
ALVARADO F T,1760,GG,D,FT,AO,29000,NA,36.55564581640943
ALVARADO F T,1760,GG,T,FM,AO,29000,NA,36.964780778314
LEZCANO JOSE,1870,KEE,T,FM,G1,350000,NA,37.55522827687776
LEZCANO JOSE,1980,TAM,T,FM,G2,225000,NA,37.299686866826306
LEZCANO JOSE,1870,TAM,T,FM,G3,175000,NA,37.68472906403941
LEZCANO JOSE,1980,KEE,T,FM,G1,500000,NA,37.15937241948803
LEZCANO JOSE,1980,BEL,t,FM,G2,400000,NA,37.15255481148518
GEROUX FLORENT,1980,SAR,T,TF,G2,300000,NA,37.437603993344425
*GEROUXF,1760,ASC,T,TF,G1,538222,NA,35.93172971354427
GEROUX FLORENT,1870,CD,T,TF,G3,150000,NA,36.2353164077302
GEROUX FLORENT,1760,KEE,T,FM,G3,125000,NA,37.06754530477759
GEROUX FLORENT,1870,TAM,T,FM,G3,200000,NA,37.632821723730814
SANTANA RICARDO JR,1320,OP,D,FT,G3,400000,NA,38.698581052028096
SANTANA RICARDO JR,1320,OP,D,FT,N,125000,NA,39.375820329590205
FRANCO MANUEL,1320,DMR,D,FT,G1,1500000,NA,38.357721267225465
FRANCO MANUEL,1320,KEE,D,FT,G2,250000,NA,38.62660944206008
LYNCH FEARGAL,1320,LRL,D,FT,G3,250000,NA,39.13610668212785
SANTANA RICARDO JR,1320,BEL,D,FT,G2,250000,NA,38.86569742334821
SANTANA RICARDO JR,1320,PIM,D,GD,G3,150000,NA,38.62660944206008
SANTANA RICARDO JR,1320,OP,D,FT,G3,400000,NA,39.50256035113387
SANTANA RICARDO JR,1320,OP,D,FT,N,125000,NA,39.28987194412107
ORTIZ JOSE L,1320,OP,D,FT,AO,76000,NA,39.23848277866589
RAMGEET A R,1320,TUP,D,FT,N,75000,NA,39.73509933774834
RAMGEET A R,1210,TUP,D,FT,N,30000,NA,40.11995461176852
ERAMIA RICHARD E,1320,OP,D,FT,G3,400000,NA,39.181541140618194
HILL C,1320,OP,D,FT,N,125000,NA,38.23820988528537
VERGARA D P,1320,TUP,D,FT,N,75000,NA,38.86569742334821
JUAREZ A J JR,1100,SUN,D,FT,N,65000,NA,39.75265017667844
GILES FRANCISCO,1320,ZIA,D,FT,A,25000,NA,39.51990632318502
GILES FRANCISCO,1210,ZIA,D,FT,A,24000,NA,39.20481546016157
TOHILL K S,1210,ZIA,D,FT,S,24500,NA,38.69001094262936
CASTELLANO J J,1320,TAM,D,FT,N,100000,NA,38.14636903079966
CASTELLANO J J,1320,DMR,D,FT,G1,1500000,NA,39.272727272727266
CASTELLANO J J,1320,PRX,D,FT,N,100000,NA,39.970392301998515
CASTELLANO J J,1320,GP,D,FT,G3,250000,NA,39.000433338148206
PIMENTEL J,1540,LRL,D,FT,G3,250000,NA,38.79310344827586
MCCARTHY TREVOR,1320,LRL,D,GD,N,75000,NA,38.28701077708452
FLORES J L,1320,PRX,D,MY,AO,52000,NA,38.79310344827587
FLORES J L,1320,PEN,D,FT,N,200000,NA,38.445108927808626
CASTELLANO J J,1320,PRX,D,FT,A,76000,NA,38.49443969204448
GALLARDO ANTONIO A,1320,MTH,D,FT,AO,40000,NA,38.57693956279469
ORTIZ JOSE L,1540,KEE,D,FT,G3,250000,NA,37.70197486535009
ORTIZ JOSE L,1540,GP,D,FT,AO,53000,NA,38.58402743753063
ORTIZ JOSE L,1870,GP,D,FT,AO,52000,NA,36.96009276258576
LANERIE C J,1760,CD,D,FT,AO,65000,62500,37.934668071654364
LANERIE C J,1870,KEE,D,FT,AO,71000,NA,37.19731595837791
CARMOUCHE K,1980,BEL,D,FT,N,100000,NA,36.407766990291265
SAEZ LUIS,1980,SAR,D,FT,N,100000,NA,36.84833045218816
HERNANDEZ B J JR,1980,PRM,D,FT,G3,300000,NA,37.13892709766163
SAEZ LUIS,2090,PIM,D,FT,G3,300000,NA,36.96178454089573
SAEZ LUIS,1870,KEE,D,FT,AO,74000,NA,37.17562445329964
VELAZQUEZ J R,1540,GP,D,FT,AO,87000,NA,38.06186563557274
VELAZQUEZ J R,1980,PRX,D,FT,G1,1000000,NA,36.29032258064516
VELAZQUEZ J R,1980,SAR,D,FT,N,100000,NA,36.621756035807934
VELAZQUEZ J R,1870,BEL,D,FT,N,150000,NA,37.37541528239202
HERNANDEZ B J JR,1540,KEE,D,FT,G3,250000,NA,38.09869375907112
HERNANDEZ B J JR,1760,FG,T,FM,AO,44000,NA,37.24780134505949
HERNANDEZ B J JR,1210,FG,T,FM,AO,42000,NA,38.4257102934327
HERNANDEZ B J JR,1870,IND,D,FT,G3,500000,NA,36.74351585014409
HERNANDEZ B J JR,1870,CD,D,FT,AO,55300,NA,36.58536585365854
HERNANDEZ B J JR,1540,CD,D,FT,A,51000,NA,38.269955047989306
HERNANDEZ B J JR,1870,CD,D,SY,AO,67000,NA,36.24905231235785
HERNANDEZ B J JR,1540,KEE,D,FT,A,72000,NA,37.80604896783486
HERNANDEZ B J JR,1320,FG,D,FT,S,41000,NA,38.097925779596444
LANERIE C J,1540,KEE,D,FT,G3,250000,NA,38.1125226860254
LANERIE C J,1540,CD,D,FT,N,80000,NA,38.048073438821106
ORTIZ JOSE L,1320,KEE,D,FT,G2,250000,NA,38.604518158421506
ORTIZ JOSE L,1320,SAR,D,FT,G1,350000,NA,38.35227272727273
ALBARADO R J,1540,CD,D,SY,N,70000,NA,37.91526239768897
LANERIE C J,1320,CD,D,FT,G3,100000,NA,39.0625
ORTIZ JOSE L,1540,CD,D,WF,G2,500000,NA,37.85147801009373
ORTIZ JOSE L,1540,KEE,D,FT,G3,250000,NA,38.03888419273034
ORTIZ JOSE L,1320,SA,D,FT,G1,1500000,NA,38.59348198970841
ORTIZ JOSE L,1320,KEE,D,FT,G2,250000,NA,39.45061367621275
CONTRERAS LUIS,1540,KEE,D,FT,G3,250000,NA,38.130976879312435
STEVENS G L,1320,OP,D,FT,N,125000,NA,38.48346636259978
STEVENS G L,1320,OP,D,FT,AO,78000,NA,38.42322470471041
STEVENS G L,1760,OP,D,FT,A,78000,NA,36.648681665478975
LANDEROS CHRIS,1540,CD,D,FT,N,80000,NA,37.769784172661865
COURT J K,1760,CD,D,FT,G3,100000,NA,36.768460831375755
ROSARIO JOEL,1430,SAR,D,FT,AO,90000,NA,38.54262748715246
ROSARIO JOEL,1540,SAR,D,FT,AO,90000,NA,38.21424238748028
COURT J K,1870,CD,T,FM,AO,57500,NA,37.40831295843521
GEROUX FLORENT,1540,CD,D,FT,AO,53000,NA,37.70648790998324
ALBARADO R J,1430,GP,D,FT,G3,100000,NA,36.94581280788177
SAEZ LUIS,1320,GP,D,FT,AO,52000,NA,38.53839566086212
SAEZ LUIS,1320,GP,D,GD,AO,52000,NA,38.13020759779692
ALBARADO R J,1430,CD,D,FT,AO,65000,NA,37.09575142675967
LANERIE C J,1760,GP,T,FM,A,49000,NA,37.22854188210962
LANERIE C J,1650,GP,T,FM,AO,49000,NA,38.144213381555154
LANERIE C J,1760,GP,D,FT,G3,150000,NA,36.926864293773725
LANERIE C J,1540,CD,D,FT,A,60000,NA,38.424005855086605
LANERIE C J,1540,KEE,D,FT,A,62000,NA,36.54716324399582
LANERIE C J,1540,KEE,D,FT,A,62000,NA,37.89701636188642
VELAZQUEZ J R,1540,AQU,D,FT,G1,400000,NA,38.49443969204448
VELAZQUEZ J R,1760,DMR,D,FT,G1,1000000,NA,37.543018041505896
LANERIE C J,1760,CD,D,FT,G3,100000,NA,37.88676068196169
VELAZQUEZ J R,1540,SAR,D,FT,G1,600000,NA,38.56041131105399
VELAZQUEZ J R,1540,BEL,D,FT,G2,350000,NA,38.25601165897498
ROSARIO JOEL,1760,BEL,D,FT,G1,1200000,NA,37.807183364839325
ORTIZ JOSE L,1760,GP,T,FM,N,150000,NA,38.51915257864327
JARAMILLO E,1870,GP,T,FM,G3,100000,NA,37.85254824344384
JARAMILLO E,1760,GP,T,TF,G3,100000,NA,37.39094308267553
JARAMILLO E,1650,GP,T,FM,N,100000,NA,37.52918936950961
JARAMILLO E,1760,GP,T,TF,N,75000,NA,35.194056114967246
MONTALVO C,1760,GP,T,FM,S,53000,NA,35.985605757696916
BAZE T C,1760,SA,T,TF,N,200000,NA,37.4726761736234
BAZE T C,1870,SA,D,FT,G3,150000,NA,35.498839907192576
PRAT FLAVIEN,1760,SA,T,FM,N,75000,NA,38.05496828752643
PRAT FLAVIEN,1760,DMR,T,FM,G3,100000,NA,37.48828491096532
PRAT FLAVIEN,1760,SA,T,FM,S,50000,NA,38.42049092849519
PRAT FLAVIEN,1760,SA,T,FM,S,50000,NA,38.41639099349056
PRAT FLAVIEN,1760,LRC,D,FT,S,45000,NA,34.836462163731376
*HEFFERNAN J A,2078,MEY,D,FT,G2,2000000,NA,34.26128119824718
*HEFFERNAN J A,1760,DUD,D,FT,N,86720,NA,36.39672429481347
*HEFFERNAN J A,1540,NKT,T,TF,G1,653460,NA,37.91069924178601
*HEFFERNAN J A,1320,FRH,T,YL,S,17209,NA,34.62870334744132
*MOORE R L,1540,CGH,T,YL,S,19659,NA,34.588777863182166
GEROUX FLORENT,1650,FG,T,FM,AO,40000,NA,35.908075327162464
SANTIAGO JAVIER,1760,GP,T,TF,N,75000,NA,34.62204270051933
SANTANA RICARDO JR,1870,CD,T,YL,A,62000,NA,35.101404056162245
GRAHAM J,1760,KEE,T,SF,A,67000,NA,36.12281757977122
GEROUX FLORENT,1870,CD,D,FT,G3,150000,NA,35.403554239170674
LOPEZ J E,1760,AP,T,FM,S,28000,NA,35.39127015336217
CASTELLANO J J,1870,GP,T,FM,AO,56000,NA,37.053182214472535
CASTELLANO J J,1760,GP,T,TF,G3,100000,NA,36.964780778314
PRADO E S,1870,GP,T,TF,AO,51000,NA,36.68712833301362
RIOS JESUS M,1760,GP,T,FM,S,53000,NA,35.95685177786656
VELAZQUEZ J R,1870,SAR,t,FM,S,83000,NA,35.601265822784804
CASTELLANO J J,1100,GP,T,FM,S,60000,NA,39.53610964681076
ROSARIO JOEL,1760,SA,T,TF,N,200000,NA,37.53127606338616
PRAT FLAVIEN,1760,SA,T,FM,AO,56000,NA,38.09120727965295
PRAT FLAVIEN,1980,SA,T,FM,S,54000,NA,37.14914694551459
PRAT FLAVIEN,1760,DMR,T,FM,S,52000,NA,37.83102143757882
*WINSTON R,1320,NEW,D,FT,A,32416,NA,36.644951140065146
*HAYES C D,1540,DUD,D,FT,S,18073,NA,36.53444676409186
*MCDONOGH D P,1320,CGH,T,TF,S,21829,NA,36.36363636363637
ROSARIO JOEL,1870,KEE,T,YL,G3,150000,NA,35.871705898902746
MENA M,1870,FG,T,TF,AO,40000,NA,35.380630838960315
MENA M,1870,KEE,D,SY,G3,250000,NA,36.15995462280205
MENA M,1760,KD,T,FM,S,130000,NA,36.596523330283624
PEDROZA MARCELINO,1760,IND,T,FM,S,31000,NA,36.18090452261306
DE LA CRUZ FERNANDO,1980,KEE,D,FT,G2,1000000,NA,35.33414761821671
GARCIA J A,1980,TP,D,FT,G3,200000,NA,36.46677471636953
GARCIA J A,1870,TP,D,FT,N,75000,NA,36.59236582799196
GARCIA J A,1760,TP,D,FT,AO,20400,NA,35.81020590868397
GARCIA J A,1760,KEE,T,SF,A,67000,NA,35.96044351213665
SANTANA RICARDO JR,1870,KEE,D,SY,G3,250000,NA,35.905378766544636
JIMENEZ ALBIN,1540,KD,T,TF,N,350000,NA,34.146341463414636
BAZE T C,1430,DMR,D,FT,G2,200000,NA,36.89455095862765
*VELAZQUEZ JOHN R,1320,ASC,T,TF,G2,187420,NA,36.809815950920246
VELAZQUEZ J R,1100,BEL,D,MY,S,100000,NA,37.288697381504804
GEROUX FLORENT,1870,KEE,T,YL,G3,150000,NA,35.94924812030075
GEROUX FLORENT,1760,TAM,T,FM,N,75000,NA,37.986704653371326
CENTENO D E,1760,TAM,T,TF,AO,22500,NA,36.09022556390977
VALDIVIA J JR,1540,CD,D,FT,N,200000,NA,37.10684415125457
VALDIVIA J JR,1870,KEE,D,SY,G3,250000,NA,35.878435418816245
VALDIVIA J JR,1540,AP,D,FT,N,75000,NA,36.89388615600844
MARQUEZ C H JR,1760,AP,T,FM,S,28000,NA,36.66734569158688
VELAZQUEZ J R,1870,KEE,T,YL,G3,150000,NA,35.88516746411483
VELAZQUEZ J R,1870,GP,T,FM,G3,100000,NA,37.86753786753786
ORTIZ IRAD JR,1870,GP,T,TF,AO,51000,NA,36.80361781968632
VELAZQUEZ J R,1760,GP,T,TF,N,75000,NA,34.742327735958305
VELAZQUEZ J R,1870,BEL,t,FM,G3,200000,NA,36.924413553431805
VELAZQUEZ J R,1870,SAR,T,FM,S,83000,NA,37.55522827687776
ORTIZ JOSE L,1870,TAM,D,FT,G2,400000,NA,35.83473861720067
ORTIZ JOSE L,1760,GP,T,TF,G3,100000,NA,37.220843672456574
ORTIZ JOSE L,1760,DMR,T,FM,G1,1000000,NA,37.453183520599254
BRAVO J,1760,WO,T,FM,G2,200000,NA,38.00274464266863
ORTIZ JOSE L,1870,SAR,T,FM,G3,150000,NA,37.800177883190045
ORTIZ JOSE L,1870,SAR,T,FM,S,83000,NA,36.7047308319739
LYNCH FEARGAL,1210,LRL,T,FM,S,40000,NA,39.00709219858155
CASTELLANO J J,1760,KEE,T,YL,G2,200000,NA,36.488951956213256
CASTELLANO J J,1760,DMR,T,FM,G1,1000000,NA,37.464876678114265
CASTELLANO J J,1870,KEE,T,SF,G3,150000,NA,36.016949152542374
CASTELLANO J J,1760,BEL,T,FM,S,75000,NA,37.79130799916019
GRAHAM J,1870,KEE,T,YL,G3,150000,NA,35.925612848689774
GRAHAM J,1760,FG,T,FM,N,50000,NA,36.90415171706817
GRAHAM J,1870,FG,T,FM,S,38000,NA,36.0135580453818
GRAHAM J,1760,FG,D,FT,S,38000,NA,35.25954946131244
GRAHAM J,1210,FG,T,TF,S,38000,NA,38.11797320190974
SAEZ LUIS,1870,KEE,T,YL,G3,150000,NA,35.94924812030075
CONTRERAS LUIS,1870,WO,D,FT,N,100000,NA,36.59586681974742
CONTRERAS LUIS,1540,WO,D,FT,AO,61000,NA,38.10791192838133
SAEZ LUIS,1870,KEE,D,SY,G3,250000,NA,36.08490566037736
CONTRERAS LUIS,1760,WO,T,FM,G2,200000,NA,37.958667229017294
CONTRERAS LUIS,1430,WO,T,FM,S,61000,NA,37.351551525986466
MURRILL MITCHELL,1870,TP,D,FT,N,75000,NA,35.95600676818952
MURRILL MITCHELL,1830,FG,D,FT,AO,43000,NA,36.17299785641494
MENA M,1760,FG,D,FT,S,38000,NA,36.05408112168253
MENA M,1830,FG,D,FT,S,41000,NA,35.47367151423255
LANERIE C J,1980,KEE,D,FT,G2,1000000,NA,36.362003950439934
ROSARIO JOEL,1870,TAM,D,FT,G2,400000,NA,35.925612848689774
ALBARADO R J,1870,GP,D,FT,G2,350000,NA,36.82133230650751
ALBARADO R J,1870,CD,D,FT,G2,200000,NA,36.62389888931444
ALBARADO R J,1870,KEE,D,FT,S,65000,NA,36.245617359992416
ALBARADO R J,1760,CD,D,FT,S,51000,NA,37.45708042867548
YEUNG KEITH,1430,ELP,D,FT,S,40000,NA,37.68358670445761
PRAT FLAVIEN,1540,AQU,D,FT,G3,250000,NA,37.87878787878788
VELAZQUEZ J R,1540,GP,D,FT,AO,51000,NA,38.1125226860254
ORTIZ JOSE L,1540,SAR,D,GD,G1,350000,NA,37.14184648036788
VELAZQUEZ J R,1320,SAR,D,FT,S,83000,NA,38.37953091684435
VELAZQUEZ J R,1210,BEL,D,FT,S,75000,NA,37.80357415610204
BEJARANO R,1870,SA,D,FT,G2,400000,NA,36.09852774631937
PRAT FLAVIEN,1870,SA,D,FT,G3,150000,NA,36.28687980267527
DESORMEAUX K J,1430,SA,D,FT,S,54000,NA,37.69329896907217
MARAGH RAJIV,1320,SA,D,FT,S,54000,NA,38.0656985760609
MALDONADO E,1100,DMR,T,FM,S,52000,NA,38.7263339070568
SANTANA RICARDO JR,1980,SUN,D,FT,G3,800000,NA,36.20273531777956
SANTANA RICARDO JR,1870,OP,D,MY,AO,79000,NA,35.74432296047098
STEVENS G L,1760,OP,D,FT,AO,76000,NA,36.097463150506364
SANTANA RICARDO JR,1320,CD,D,FT,S,60000,NA,38.75968992248062
SANTANA RICARDO JR,1430,CD,D,FT,S,60000,NA,37.2991583779648
HERNANDEZ B J JR,1870,KEE,T,YL,G3,150000,NA,35.86161635102194
GAFFALIONE TYLER,1760,GP,T,FM,S,50000,NA,36.540803897685755
LEZCANO JOSE,1760,GP,T,FM,S,50000,NA,36.93444136657433
HERNANDEZ B J JR,1980,CD,T,YL,S,60000,NA,35.238841033672664
LANERIE C J,1760,KEE,T,TF,S,65000,NA,35.64003564003564
LANERIE C J,1320,CD,D,FT,S,51000,NA,37.56783080562126
LEPAROUX JULIEN R,1980,GP,D,FT,G1,1100000,NA,36.45692681609506
LEPAROUX JULIEN R,1870,GP,D,FT,AO,51000,NA,37.284335705234426
LEPAROUX JULIEN R,1870,GP,D,FT,AO,51000,NA,37.26980415083309
